time,regen_heater_power,regen_vfr_setpoint,regen_target_temp,temp_1,temp_5,temp_10,vfr_1,vfr_5,vfr_13,RH_1,RH_6,RH_9,energy_balance,mass_balance,mdot_air_in,mdot_air_out,Q_in,Q_out
0.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
1.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
2.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
3.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
4.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
5.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
6.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
7.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
8.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
9.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
10.0,0.0,1.0,30.0,18.3,21.6,24.1,0.45,0.5,0.47,0.53,0.49,0.51,-933.2400000000016,0.15600000000000003,0.72,0.564,13307.759999999998,14241.0
