time,regen_target_temp,regen_vfr_setpoint,regen_heater_power,temp_1,RH_1,vfr_1,temp_3,RH_3,vfr_5,temp_6,RH_6,vfr_8,temp_9,RH_9,temp_10,RH_10,temp_11,vfr_13,mass_balance,energy_balance,mdot_air_in,mdot_air_out,Q_in,Q_out
0.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
1.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
2.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
3.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
4.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
5.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
6.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
7.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
8.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
9.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
10.0,60.0,0.1,0.0,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,0.1,25.0,0.5,25.0,0.5,25.0,0.1,0.12,3029.9999999999995,0.24,0.12,6059.999999999999,3029.9999999999995
